Table Name:,Pri-2012 Female Retiree
Table Identity:,3533
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-amount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-amount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Female Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Female Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.0027
51,0.00291
52,0.00314
53,0.00339
54,0.00365
55,0.00393
56,0.00424
57,0.00457
58,0.00493
59,0.00531
60,0.00573
61,0.00617
62,0.00666
63,0.00718
64,0.00775
65,0.00837
66,0.00906
67,0.00985
68,0.01074
69,0.01178
70,0.01298
71,0.01438
72,0.016
73,0.01789
74,0.02008
75,0.02258
76,0.02542
77,0.02862
78,0.03219
79,0.03616
80,0.04053
81,0.04533
82,0.05064
83,0.05656
84,0.06324
85,0.07077
86,0.07924
87,0.08874
88,0.09936
89,0.11124
90,0.12453
91,0.13818
92,0.1525
93,0.16737
94,0.18274
95,0.19863
96,0.21509
97,0.23214
98,0.24983
99,0.26814
100,0.28698
101,0.30619
102,0.32549
103,0.34472
104,0.36375
105,0.38243
106,0.40065
107,0.41828
108,0.43522
109,0.45139
110,0.46673
111,0.4812
112,0.49477
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
