Table Name:,Pri-2012 Male Retiree
Table Identity:,3534
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-amount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-amount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00488
51,0.00513
52,0.00541
53,0.00571
54,0.00604
55,0.0064
56,0.00681
57,0.00724
58,0.00767
59,0.00808
60,0.00845
61,0.00879
62,0.00914
63,0.00956
64,0.0101
65,0.01083
66,0.01174
67,0.01284
68,0.01413
69,0.01559
70,0.01724
71,0.01909
72,0.02116
73,0.02347
74,0.02606
75,0.02897
76,0.03225
77,0.03595
78,0.04017
79,0.04495
80,0.05035
81,0.05646
82,0.06332
83,0.07102
84,0.07966
85,0.08935
86,0.10021
87,0.11239
88,0.12592
89,0.14079
90,0.15694
91,0.17391
92,0.19142
93,0.20927
94,0.22735
95,0.24563
96,0.2641
97,0.28278
98,0.30168
99,0.32076
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
