Table Name:,Pri-2012 Male Disabled Retiree
Table Identity:,3538
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-amount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-amount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Disabled Retiree. Ages 18-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Disabled Retiree. Ages 18-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",18
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
18,0.00865
19,0.00981
20,0.01036
21,0.01044
22,0.01041
23,0.01033
24,0.01022
25,0.01011
26,0.01006
27,0.01008
28,0.01016
29,0.0103
30,0.01051
31,0.01076
32,0.01107
33,0.01143
34,0.01184
35,0.01229
36,0.01274
37,0.0132
38,0.01371
39,0.01427
40,0.0149
41,0.01561
42,0.01641
43,0.01733
44,0.0184
45,0.01964
46,0.01985
47,0.02007
48,0.02029
49,0.0205
50,0.02071
51,0.02091
52,0.02111
53,0.02131
54,0.02152
55,0.02174
56,0.02199
57,0.02227
58,0.0226
59,0.02301
60,0.02353
61,0.02418
62,0.025
63,0.02601
64,0.02722
65,0.02865
66,0.0303
67,0.03218
68,0.0343
69,0.03668
70,0.03935
71,0.04234
72,0.04567
73,0.04937
74,0.05349
75,0.05806
76,0.06312
77,0.06872
78,0.07491
79,0.08173
80,0.08922
81,0.09741
82,0.10631
83,0.1159
84,0.12618
85,0.13712
86,0.14881
87,0.16134
88,0.17485
89,0.1895
90,0.20522
91,0.22001
92,0.23362
93,0.24593
94,0.25724
95,0.26815
96,0.27941
97,0.29178
98,0.30587
99,0.32197
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
