Table Name:,Pri-2012 Male Nondisabled Annuitant
Table Identity:,3560
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-amount.xlsx, Sheet 'Nondisabled Annuitant', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-amount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00539
51,0.00544
52,0.00565
53,0.00588
54,0.00616
55,0.00647
56,0.00686
57,0.00728
58,0.0077
59,0.00811
60,0.00848
61,0.00882
62,0.00918
63,0.0096
64,0.01014
65,0.01087
66,0.01178
67,0.01288
68,0.01418
69,0.01564
70,0.01729
71,0.01914
72,0.02121
73,0.02354
74,0.02613
75,0.02905
76,0.03233
77,0.03604
78,0.04026
79,0.04504
80,0.05046
81,0.05657
82,0.06343
83,0.07114
84,0.07977
85,0.08946
86,0.10032
87,0.11248
88,0.126
89,0.14088
90,0.15703
91,0.17401
92,0.19151
93,0.20936
94,0.22742
95,0.24569
96,0.26415
97,0.28281
98,0.30169
99,0.32077
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
