Table Name:,Pri.H-2012 Male Retiree
Table Identity:,3568
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00608
51,0.00641
52,0.00677
53,0.00716
54,0.00758
55,0.00803
56,0.00857
57,0.00912
58,0.00966
59,0.01015
60,0.01058
61,0.01095
62,0.01131
63,0.01174
64,0.01231
65,0.01309
66,0.01409
67,0.01531
68,0.01675
69,0.01841
70,0.02029
71,0.02241
72,0.02478
73,0.02742
74,0.03034
75,0.03359
76,0.03723
77,0.04131
78,0.04591
79,0.05108
80,0.05688
81,0.06334
82,0.07051
83,0.07842
84,0.08718
85,0.0969
86,0.1077
87,0.11974
88,0.13305
89,0.14758
90,0.16324
91,0.17958
92,0.19631
93,0.2133
94,0.23049
95,0.2479
96,0.26559
97,0.28363
98,0.30206
99,0.32087
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
