Table Name:,Pri.H-2012 Female Contingent Survivor
Table Identity:,3569
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Female Contingent Survivor. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Female Contingent Survivor. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00741
51,0.00763
52,0.00789
53,0.00817
54,0.0085
55,0.00885
56,0.00925
57,0.0097
58,0.01019
59,0.01072
60,0.01132
61,0.01201
62,0.01274
63,0.01352
64,0.01436
65,0.01525
66,0.01622
67,0.01726
68,0.0184
69,0.01965
70,0.02101
71,0.02252
72,0.02418
73,0.02601
74,0.02804
75,0.03029
76,0.03279
77,0.03558
78,0.0387
79,0.0422
80,0.04614
81,0.05058
82,0.05558
83,0.06123
84,0.0676
85,0.07477
86,0.08281
87,0.09178
88,0.10177
89,0.11284
90,0.12512
91,0.13835
92,0.1525
93,0.16737
94,0.18274
95,0.19863
96,0.21509
97,0.23214
98,0.24983
99,0.26814
100,0.28698
101,0.30619
102,0.32549
103,0.34472
104,0.36375
105,0.38243
106,0.40065
107,0.41828
108,0.43522
109,0.45139
110,0.46673
111,0.4812
112,0.49477
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
