Table Name:,Pri.H-2012 Male Disabled Retiree
Table Identity:,3572
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Disabled Retiree. Ages 18-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Disabled Retiree. Ages 18-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",18
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
18,0.00865
19,0.00981
20,0.01036
21,0.01044
22,0.01041
23,0.01033
24,0.01022
25,0.01011
26,0.01006
27,0.01008
28,0.01016
29,0.0103
30,0.01051
31,0.01076
32,0.01107
33,0.01143
34,0.01184
35,0.01229
36,0.01278
37,0.01332
38,0.0139
39,0.01454
40,0.01524
41,0.01602
42,0.0169
43,0.01789
44,0.01902
45,0.0203
46,0.02071
47,0.02113
48,0.02154
49,0.02195
50,0.02234
51,0.02272
52,0.02307
53,0.02342
54,0.02375
55,0.02408
56,0.02443
57,0.02479
58,0.02519
59,0.02566
60,0.02623
61,0.02694
62,0.02783
63,0.02892
64,0.03022
65,0.03174
66,0.0335
67,0.0355
68,0.03775
69,0.04028
70,0.04308
71,0.04619
72,0.04962
73,0.05337
74,0.05747
75,0.06195
76,0.06687
77,0.07228
78,0.07822
79,0.08478
80,0.09199
81,0.09989
82,0.1085
83,0.11782
84,0.12787
85,0.13864
86,0.15018
87,0.16254
88,0.17579
89,0.18999
90,0.20522
91,0.22001
92,0.23362
93,0.24593
94,0.25724
95,0.26815
96,0.27941
97,0.29178
98,0.30587
99,0.32197
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
