Table Name:,Pri.H-2012 Female Nondisabled Annuitant
Table Identity:,3593
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Nondisabled Annuitant', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Female Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Female Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00543
51,0.00554
52,0.00573
53,0.00595
54,0.00619
55,0.00623
56,0.00622
57,0.00644
58,0.00677
59,0.00716
60,0.00758
61,0.00807
62,0.00857
63,0.00909
64,0.00973
65,0.0104
66,0.0111
67,0.01198
68,0.01302
69,0.01425
70,0.01566
71,0.01724
72,0.01902
73,0.02099
74,0.02323
75,0.02575
76,0.02854
77,0.03166
78,0.03512
79,0.03895
80,0.04322
81,0.04794
82,0.0532
83,0.05909
84,0.06569
85,0.0731
86,0.08138
87,0.09061
88,0.10086
89,0.11222
90,0.12478
91,0.13825
92,0.1525
93,0.16737
94,0.18274
95,0.19863
96,0.21509
97,0.23214
98,0.24983
99,0.26814
100,0.28698
101,0.30619
102,0.32549
103,0.34472
104,0.36375
105,0.38243
106,0.40065
107,0.41828
108,0.43522
109,0.45139
110,0.46673
111,0.4812
112,0.49477
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
