Table Name:,Pri-2012 Female Juvenile
Table Identity:,3599
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Juvenile', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Mortality Table - Female Juvenile. Ages 0-17. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Mortality Table - Female Juvenile. Ages 0-17. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",0
"Row, Column (if applicable)->MaxScaleValue:",17
"Row, Column (if applicable)->Increment:",1

Row\Column,1
0,0.00544
1,0.00038
2,0.00023
3,0.00018
4,0.00013
5,0.00012
6,0.00011
7,0.0001
8,9E-05
9,9E-05
10,9E-05
11,9E-05
12,0.0001
13,0.00012
14,0.00013
15,0.00013
16,0.00014
17,0.00015
