Table Name:,Pri-2012 Male Juvenile
Table Identity:,3600
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Juvenile', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Mortality Table - Male Juvenile. Ages 0-17. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Mortality Table - Male Juvenile. Ages 0-17. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",0
"Row, Column (if applicable)->MaxScaleValue:",17
"Row, Column (if applicable)->Increment:",1

Row\Column,1
0,0.0065
1,0.00045
2,0.0003
3,0.00022
4,0.00019
5,0.00016
6,0.00014
7,0.00013
8,0.00011
9,9E-05
10,8E-05
11,9E-05
12,0.00013
13,0.00017
14,0.00022
15,0.00028
16,0.00034
17,0.0004
